Groupe,Pression,F,Mg/Si,Ca/Si,Al/Si,Temp
1,1.5,58.35,0.80029842,0.07936061,0.1268838,1625
1,1.5,26.65,0.83123716,0.06698436,0.10801289,1600
1,1.5,22.16,0.44643072,0.26866418,0.36519933,1550
1,1.5,18.31,0.37977774,0.25059617,0.34193264,1500
1,1.5,19.81,0.45459203,0.23530154,0.3038974,1475
2,1.5,44.72,0.79263826,0.11010452,0.16089254,1550
2,1.5,24.48,0.50279233,0.20705818,0.29517324,1525
2,1.5,29.38,0.58027825,0.1696485,0.22133058,1500
2,1.5,36.8,0.37058055,0.12019412,0.16389163,1475
3,3.5,100.00,0.82751681,0.04308219,0.07267541,1817
3,3.5,95.94,0.83041011,0.03823385,0.08162858,1760
3,3.5,53.27,0.84434961,0.07338338,0.12501222,1706
3,3.5,45.46,0.84482286,0.10227077,0.13680979,1600
3,3.5,22.34,0.83262796,0.18162643,0.19678181,1550
3,3.5,9.32,0.84853981,0.30539946,0.22715422,1500
4,5,100.00,0.84953879,0.04397588,0.07277166,1817
4,5,45.59,0.85745356,0.09837925,0.14079884,1761
4,5,27.65,0.87494308,0.13888611,0.1788085,1700
4,5,14.46,0.89445473,0.21895212,0.19773586,1650
4,5,1.42,0.82077658,0.38992122,0.22698201,1550
